Resolution,GroupType,GroupValue,Percentage
Saving more money,Age,18-24,61
Saving more money,Age,25-49,56
Saving more money,Age,50-64,31
Saving more money,Age,65+,10
Saving more money,Gender,Male,43
Saving more money,Gender,Female,52
Pursuing a career ambition,Age,18-24,40
Pursuing a career ambition,Age,25-49,19
Pursuing a career ambition,Age,50-64,7
Pursuing a career ambition,Age,65+,0
Pursuing a career ambition,Gender,Male,26
Pursuing a career ambition,Gender,Female,16
Doing more exercise/fitness,Age,18-24,53
Doing more exercise/fitness,Age,25-49,54
Doing more exercise/fitness,Age,50-64,65
Doing more exercise/fitness,Age,65+,56
Doing more exercise/fitness,Gender,Male,49
Doing more exercise/fitness,Gender,Female,61
Losing weight,Age,18-24,40
Losing weight,Age,25-49,43
Losing weight,Age,50-64,65
Losing weight,Age,65+,37
Losing weight,Gender,Male,43
Losing weight,Gender,Female,47
Improving my diet,Age,18-24,45
Improving my diet,Age,25-49,44
Improving my diet,Age,50-64,36
Improving my diet,Age,65+,34
Improving my diet,Gender,Male,41
Improving my diet,Gender,Female,43
Cutting down on drinking,Age,18-24,6
Cutting down on drinking,Age,25-49,14
Cutting down on drinking,Age,50-64,10
Cutting down on drinking,Age,65+,14
Cutting down on drinking,Gender,Male,13
Cutting down on drinking,Gender,Female,11
Giving up smoking,Age,18-24,2
Giving up smoking,Age,25-49,8
Giving up smoking,Age,50-64,6
Giving up smoking,Age,65+,3
Giving up smoking,Gender,Male,4
Giving up smoking,Gender,Female,8
Spending more time with family,Age,18-24,25
Spending more time with family,Age,25-49,22
Spending more time with family,Age,50-64,14
Spending more time with family,Age,65+,14
Spending more time with family,Gender,Male,20
Spending more time with family,Gender,Female,21
Volunteering/charity work,Age,18-24,18
Volunteering/charity work,Age,25-49,12
Volunteering/charity work,Age,50-64,8
Volunteering/charity work,Age,65+,22
Volunteering/charity work,Gender,Male,18
Volunteering/charity work,Gender,Female,11
Spending less time on social media,Age,18-24,31
Spending less time on social media,Age,25-49,21
Spending less time on social media,Age,50-64,15
Spending less time on social media,Age,65+,6
Spending less time on social media,Gender,Male,21
Spending less time on social media,Gender,Female,21
Taking up a new hobby,Age,18-24,32
Taking up a new hobby,Age,25-49,20
Taking up a new hobby,Age,50-64,3
Taking up a new hobby,Age,65+,14
Taking up a new hobby,Gender,Male,21
Taking up a new hobby,Gender,Female,18
Renovating part of home,Age,18-24,12
Renovating part of home,Age,25-49,14
Renovating part of home,Age,50-64,23
Renovating part of home,Age,65+,11
Renovating part of home,Gender,Male,9
Renovating part of home,Gender,Female,18
Something else,Age,18-24,17
Something else,Age,25-49,17
Something else,Age,50-64,16
Something else,Age,65+,23
Something else,Gender,Male,16
Something else,Gender,Female,19
